trade_identity,pivot_at,decision_at,direction,control_outcome,control_r,executed,route,entry_at,entry_price,stop,target,outcome,resolution_at,net_r,evidence_segment
6b41f7165f95ba155602ab6825c7c2283db227013e74b3c3041ccc1407958765,2022-05-10T03:00:00Z,2022-05-10T06:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-10T06:55:00Z,1863.56,1852.5,1871.54,STOP,2022-05-10T17:46:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
6d4e49d37c318ce420ca8c1a60fdf0aed1a3a28238d484a7604816377669816a,2022-05-10T09:00:00Z,2022-05-10T12:00:00Z,SHORT,TARGET,3.782287822878178,True,INITIAL_CONFIRMATION_TARGET,2022-05-10T13:00:00Z,1857.68,1865.46,1852.5,TARGET,2022-05-10T17:46:00Z,0.6658097686375426,EXPOSED_HISTORICAL_REGRESSION
5c17b544b5af6167676a28eb4c111b79c55c3019e285cb89b68156e33bf3819c,2022-05-10T13:00:00Z,2022-05-10T16:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-10T16:05:00Z,1861.8,1856.28,1865.46,STOP,2022-05-10T16:46:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
44f0a28841d9d046f5206f26c20098d9e55834637e93ccb1ac7ba2c21c89d8b9,2022-05-10T14:00:00Z,2022-05-10T17:00:00Z,SHORT,TARGET,0.10469798657717691,False,NO_TRADE_TARGET_BEFORE_CONFIRMATION,,,,1856.28,,,0.0,EXPOSED_HISTORICAL_REGRESSION
5ff8e6983805ebe2e4f61437c4c78514b9b7e05d44905a64f445009b7f1ec87d,2022-05-11T03:00:00Z,2022-05-11T06:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-11T08:00:00Z,1838.97,1832.03,1864.51,STOP,2022-05-12T19:52:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
646e16e1002eca4cbda9101187725574a69612ca2b844f3c099ffa0217542fe4,2022-05-11T05:00:00Z,2022-05-11T08:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1832.03,,,0.0,EXPOSED_HISTORICAL_REGRESSION
80d406281b120da6ecfb9c88af63d285edf9ca367d4e4480f6ac0434fcf86dd7,2022-05-11T12:00:00Z,2022-05-11T15:00:00Z,SHORT,TARGET,3.609022556390935,True,INITIAL_CONFIRMATION_TARGET,2022-05-11T15:05:00Z,1850.51,1854.31,1835.92,TARGET,2022-05-11T15:40:00Z,3.839473684210551,EXPOSED_HISTORICAL_REGRESSION
b05271f4fcd8fd46e9120650c0af46d562abe02aefa63bb5368862678d2a6667,2022-05-11T15:00:00Z,2022-05-11T18:00:00Z,LONG,TARGET,0.19309068476248456,True,INITIAL_CONFIRMATION_TARGET,2022-05-11T18:25:00Z,1851.89,1834.97,1854.31,TARGET,2022-05-11T18:38:00Z,0.14302600472812263,EXPOSED_HISTORICAL_REGRESSION
180ad48fe046d6e9c104f557f339a863438b740b43ed414208b9e2f3666447cb,2022-05-11T16:00:00Z,2022-05-11T19:00:00Z,SHORT,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-05-12T05:45:00Z,1853.61,1858.78,1834.97,TARGET,2022-05-12T18:45:00Z,3.6054158607349343,EXPOSED_HISTORICAL_REGRESSION
8c7b000ffafd8c59cb825cf9242b937a138b86734f55bdbc2622c06a422865a8,2022-05-11T20:00:00Z,2022-05-11T23:00:00Z,SHORT,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1834.97,,,0.0,EXPOSED_HISTORICAL_REGRESSION
544a07c53350e61971ea35cec0bff7c9f86c8ef2f8f2461f2353bf614859085a,2022-05-12T04:00:00Z,2022-05-12T07:00:00Z,SHORT,TARGET,3.173684210526276,True,INITIAL_CONFIRMATION_TARGET,2022-05-12T07:05:00Z,1852.94,1858.76,1834.97,TARGET,2022-05-12T18:45:00Z,3.0876288659794198,EXPOSED_HISTORICAL_REGRESSION
665666ddac2a786faf13f9ca643c5650ff12fd790c5b62260e245b91532ab8e6,2022-05-12T09:00:00Z,2022-05-12T12:00:00Z,SHORT,TARGET,1.7611510791366805,True,INITIAL_CONFIRMATION_TARGET,2022-05-12T13:55:00Z,1846.37,1854.16,1834.97,TARGET,2022-05-12T18:45:00Z,1.4634146341462881,EXPOSED_HISTORICAL_REGRESSION
5966845be5aa86c6fed50810797744621d3c4099f394a37962f2bc44eefcbce2,2022-05-12T10:00:00Z,2022-05-12T13:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1854.16,,,0.0,EXPOSED_HISTORICAL_REGRESSION
45a7125a9858952e649237b494a7193c370989db8257eff8df70b495b0ca46e9,2022-05-13T02:00:00Z,2022-05-13T05:00:00Z,LONG,STOP,-1.0,True,INITIAL_CONFIRMATION_STOP,2022-05-13T06:20:00Z,1826.22,1818.68,1849.14,STOP,2022-05-13T13:16:00Z,-1.0,EXPOSED_HISTORICAL_REGRESSION
d780cd8aa6f3bdc373e84d117829da3a7d628b8083f987280fff935527faec61,2022-05-13T10:00:00Z,2022-05-13T13:00:00Z,SHORT,TARGET,0.739279588336192,True,INITIAL_CONFIRMATION_TARGET,2022-05-13T13:05:00Z,1821.39,1828.82,1818.68,TARGET,2022-05-13T13:16:00Z,0.3647375504710762,EXPOSED_HISTORICAL_REGRESSION
ce1aaab75b36bf8a9b3489fdb37cd8980a140f2dbc40a94b6051adf39ac37a38,2022-05-13T16:00:00Z,2022-05-13T19:00:00Z,LONG,STOP,-1.0,True,RECLAIM_CONFIRMATION_TARGET,2022-05-16T15:55:00Z,1809.0,1791.39,1828.82,TARGET,2022-05-17T02:52:00Z,1.1254968767745628,EXPOSED_HISTORICAL_REGRESSION
41768df9ebf030f299389fc8552704f11d25b3eaf0bff10440bea8087a0db4c9,2022-05-13T17:00:00Z,2022-05-13T20:00:00Z,SHORT,TARGET,1.7002801120447764,True,INITIAL_CONFIRMATION_TARGET,2022-05-16T08:30:00Z,1806.89,1818.42,1799.14,TARGET,2022-05-16T10:44:00Z,0.6721595836947111,EXPOSED_HISTORICAL_REGRESSION
b1fa4fd5f12dc6ce5e16aa07227cdf779c31f4fd08e492db849085043c2c71be,2022-05-13T22:00:00Z,2022-05-16T06:00:00Z,LONG,STOP,-1.0,False,NO_TRADE_H1_CLOSE_INVALIDATED,,,,1818.42,,,0.0,EXPOSED_HISTORICAL_REGRESSION
